TIG_MyParcel2014::Enabled,Geactiveerd
TIG_MyParcel2014::Title,Titel
TIG_MyParcel2014::Method Name,Methode naam
TIG_MyParcel2014::Rate Type,Tarief type
TIG_MyParcel2014::Type,Type
TIG_MyParcel2014::Price,Prijs
TIG_MyParcel2014::Pakjegemak active,Pakjegemak actief
TIG_MyParcel2014::Pakjegemak fee,Pakjegemak afhandelingskosten
TIG_MyParcel2014::Condition,Voorwaarde
TIG_MyParcel2014::Calculate Handling Fee,Verzendkosten berekeningswijze
TIG_MyParcel2014::Handling Fee,Afhandelingskosten
TIG_MyParcel2014::Ship to Applicable Countries,Verzend naar beschikbare landen
TIG_MyParcel2014::Ship to Specific Countries,Verzend naar specifieke landen
TIG_MyParcel2014::Sort Order,Sorteer bestelling
TIG_MyParcel2014::Default Shipment Settings,Standaard verzend instellingen
TIG_MyParcel2014::Home address only,Alleen huisadres
TIG_MyParcel2014::Signature on receipt,Handtekening bij ontvangst
TIG_MyParcel2014::Return if no answer,Retour bij niet aanwezig
TIG_MyParcel2014::Insured up to &euro; 50,Verzekerd tot &euro; 50
TIG_MyParcel2014::For NL shipping only,Alleen voor Nederlandse verzendingen
TIG_MyParcel2014::Insured up to &euro; 250,Verzekerd tot &euro; 250
"TIG_MyParcel2014::For NL shipping only, shipments outside the EU insured default is &euro; 200","Alleen voor Nederlandse verzendingen, zendingen naar landen buiten de EU zijn standaard verzekerd tot &euro; 200"
TIG_MyParcel2014::Insured up to &euro; 500,Verzekerd tot &euro; 500
"TIG_MyParcel2014::For NL shipping only, shipments inside the EU insured default is &euro; 500","Alleen voor Nederlandse verzendingen, zendingen naar landen binnen de EU zijn standaard verzekerd tot &euro; 500"
TIG_MyParcel2014::Customs Shipment Type,Douane verzend type
TIG_MyParcel2014::Customs Content HS Code,Douane goederen HS code
"TIG_MyParcel2014::Default content type for Cross Domestic products, see <a href=""http://gebruikstarief.douane.nl"" target=""_blank"">http://gebruikstarief.douane.nl</a>","Standaard goederen type voor Cross Domestic producten, zie <a href=""http://gebruikstarief.douane.nl"" target=""_blank"">http://gebruikstarief.douane.nl</a>"
"TIG_MyParcel2014::Fill in your preferences for a shipment. These settings will only apply for the mass actions in the order grid. When creating a single shipment, these settings can be changed manually.<br/>These settings will activate based on the order total amount. When shipping outside of the EU you can set default values for customs type and customs goods HS code.","Vul hier uw voorkeuren in voor een verzending. Dit is later per zending uiteraard nog per zending aan te passen. De verzekeringsopties worden actief op basis van het order totaal bedrag. <br/> Indien u zendingen naar landen buiten de EU verstuurt, kunt u optioneel voor deze zendingen een standaard waarde invullen bij het Douane verzendtype en de Douane goederen HS code."
TIG_MyParcel2014::Retourlink e-mail Template,Retourlink e-mail Template
TIG_MyParcel2014::PLACEHOLDER,PLACEHOLDER
TIG_MyParcel2014::Track&amp;Trace email template,Track&amp;Trace e-mail Template
"TIG_MyParcel2014::You can create a new transactional e-mail where the variables {{var tracktrace_url}} and {{var retourlabel_url}} are available. TIP: You can base them on the Order Update template, because {{var order}} is also available.","U kunt een nieuwe transactionele email aanmaken en daarin {{var tracktrace_url}} en {{var retourlabel_url}} gebruiken. Zie voor details de <a target=""_blank"" href=""http://kb.totalinternetgroup.nl/topic/98526863"">KB</a>"
TIG_MyParcel2014::Print Orientation,Print ori&euml;ntatie
TIG_MyParcel2014::Select a standard orientation for printing labels.,Selecteer een standaard print ori&euml;ntatie voor het printen van labels.
TIG_MyParcel2014::Enable test modus,Activeer test modus
